,school_name,major_name,major_link,salary
112,國立臺灣師範大學,圖文傳播學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=320702,40330
113,國立臺灣師範大學,企業管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=340301,0
114,國立臺灣師範大學,生命科學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=420103,42860
115,國立臺灣師範大學,化學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=440101,42860
116,國立臺灣師範大學,地球科學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=440201,42860
117,國立臺灣師範大學,物理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=440301,42860
118,國立臺灣師範大學,數學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=460101,0
119,國立臺灣師範大學,電機工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=520101,52850
120,國立臺灣師範大學,資訊工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=520114,0
121,國立臺灣師範大學,機電工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=520226,56600
122,國立臺灣師範大學,運動競技學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5004000000&mid=810302,0
123,國立陽明大學,生命科學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=420103,0
124,國立陽明大學,生物醫學工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=521108,0
125,國立陽明大學,生醫光電暨奈米科學學位學程,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=521117,0
126,國立陽明大學,醫學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=720101,55430
127,國立陽明大學,藥學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=720301,0
128,國立陽明大學,物理治療暨輔助科技學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=720411,55430
129,國立陽明大學,護理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=720601,55430
130,國立陽明大學,醫學生物技術學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=720705,55430
131,國立陽明大學,醫學影像暨放射科學學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=720712,55430
132,國立陽明大學,牙醫學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5014000000&mid=720801,55430
133,國立臺灣科技大學,應用外語系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=220303,47830
134,國立臺灣科技大學,創意設計系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=230111,37650
135,國立臺灣科技大學,工商業設計系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=230301,37650
136,國立臺灣科技大學,企業管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=340301,49480
137,國立臺灣科技大學,管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=340306,0
138,國立臺灣科技大學,工業管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=349906,0
139,國立臺灣科技大學,應用科技研究所,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=449902,60430
140,國立臺灣科技大學,資訊管理學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=480109,52010
141,國立臺灣科技大學,電機工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520101,66940
142,國立臺灣科技大學,電子學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520103,66940
143,國立臺灣科技大學,資訊工程學系,https://www.104.com.tw/jb/career/department/view?degree=3&sid=5020000000&mid=520114,56820
